# Input	DiseaseName	DiseaseID	GeneSymbol	GeneID	DiseaseCategories	DiseaseCategories	DirectEvidence	OmimIDs	PubMedIDs
d044343	ABDOMINAL OBESITY-METABOLIC SYNDROME 1	OMIM:605552	MTTP	4547	Metabolic disease|Nutrition disorder	Metabolic disease|Nutrition disorder	marker/mechanism	605552	
d044343	ABDOMINAL OBESITY-METABOLIC SYNDROME 3	OMIM:615812	DYRK1B	9149	Metabolic disease|Nutrition disorder	Metabolic disease|Nutrition disorder	marker/mechanism	615812	
d044343	ADIPONECTIN, SERUM LEVEL OF, QUANTITATIVE TRAIT LOCUS 2	OMIM:606770	ADIPOQ	9370	Metabolic disease|Nutrition disorder|Signs and symptoms	Metabolic disease|Nutrition disorder|Signs and symptoms	marker/mechanism		11549668
d044343	ADIPONECTIN, SERUM LEVEL OF, QUANTITATIVE TRAIT LOCUS 2	OMIM:606770	ADIPQTL2	171511	Metabolic disease|Nutrition disorder|Signs and symptoms	Metabolic disease|Nutrition disorder|Signs and symptoms	marker/mechanism		11549668
d044343	ADIPONECTIN, SERUM LEVEL OF, QUANTITATIVE TRAIT LOCUS 3	OMIM:606771	ADIPOQ	9370	Metabolic disease|Nutrition disorder|Signs and symptoms	Metabolic disease|Nutrition disorder|Signs and symptoms	marker/mechanism		11549668
d044343	ADIPONECTIN, SERUM LEVEL OF, QUANTITATIVE TRAIT LOCUS 3	OMIM:606771	ADIPQTL3	171512	Metabolic disease|Nutrition disorder|Signs and symptoms	Metabolic disease|Nutrition disorder|Signs and symptoms	marker/mechanism		11549668
d044343	BODY MASS INDEX QUANTITATIVE TRAIT LOCUS 10	OMIM:607514	FFAR4	338557	Nutrition disorder|Signs and symptoms	Nutrition disorder|Signs and symptoms	marker/mechanism	607514	
d044343	BODY MASS INDEX QUANTITATIVE TRAIT LOCUS 12	OMIM:612362	PCSK1	5122	Nutrition disorder|Signs and symptoms	Nutrition disorder|Signs and symptoms	marker/mechanism	612362	
d044343	BODY MASS INDEX QUANTITATIVE TRAIT LOCUS 14	OMIM:612460	FTO	79068	Nutrition disorder|Signs and symptoms	Nutrition disorder|Signs and symptoms	marker/mechanism	612460	
d044343	BODY MASS INDEX QUANTITATIVE TRAIT LOCUS 18	OMIM:615457	MRAP2	112609	Nutrition disorder|Signs and symptoms	Nutrition disorder|Signs and symptoms	marker/mechanism	615457	
d044343	BODY MASS INDEX QUANTITATIVE TRAIT LOCUS 4	OMIM:607447	UCP2	7351	Nutrition disorder|Signs and symptoms	Nutrition disorder|Signs and symptoms	marker/mechanism	607447	
d044343	BODY MASS INDEX QUANTITATIVE TRAIT LOCUS 9	OMIM:602025	MC3R	4159	Nutrition disorder|Signs and symptoms	Nutrition disorder|Signs and symptoms	marker/mechanism	602025	
