# Input	DiseaseName	DiseaseID	GeneSymbol	GeneID	DiseaseCategories	DiseaseCategories	DirectEvidence	OmimIDs	PubMedIDs
d008659	17-Hydroxysteroid Dehydrogenase Deficiency	MESH:C537805	HSD17B3	3293	Congenital abnormality|Endocrine system disease|Genetic disease (inborn)|Metabolic disease|Skin disease|Urogenital disease (female)|Urogenital disease (male)	Congenital abnormality|Endocrine system disease|Genetic disease (inborn)|Metabolic disease|Skin disease|Urogenital disease (female)|Urogenital disease (male)	marker/mechanism	264300	25526675
d008659	2,4-Dienoyl-CoA Reductase Deficiency	MESH:C565624	DECR1	1666	Genetic disease (inborn)|Metabolic disease	Genetic disease (inborn)|Metabolic disease	marker/mechanism		25526675
d008659	2,4-Dienoyl-CoA Reductase Deficiency	MESH:C565624	NADK2	133686	Genetic disease (inborn)|Metabolic disease	Genetic disease (inborn)|Metabolic disease	marker/mechanism	616034	
d008659	2-AMINOADIPIC 2-OXOADIPIC ACIDURIA	OMIM:204750	DHTKD1	55526	Genetic disease (inborn)|Metabolic disease	Genetic disease (inborn)|Metabolic disease	marker/mechanism	204750	
d008659	2-Hydroxyglutaricaciduria	MESH:C535306	D2HGDH	728294	Genetic disease (inborn)|Metabolic disease|Nervous system disease	Genetic disease (inborn)|Metabolic disease|Nervous system disease	marker/mechanism	600721	
d008659	2-Hydroxyglutaricaciduria	MESH:C535306	IDH2	3418	Genetic disease (inborn)|Metabolic disease|Nervous system disease	Genetic disease (inborn)|Metabolic disease|Nervous system disease	marker/mechanism	613657	27469509
d008659	2-Hydroxyglutaricaciduria	MESH:C535306	L2HGDH	79944	Genetic disease (inborn)|Metabolic disease|Nervous system disease	Genetic disease (inborn)|Metabolic disease|Nervous system disease	marker/mechanism	236792	15385440|15548604|21937992
d008659	2-Hydroxyglutaricaciduria	MESH:C535306	SLC25A1	6576	Genetic disease (inborn)|Metabolic disease|Nervous system disease	Genetic disease (inborn)|Metabolic disease|Nervous system disease	marker/mechanism	615182	
d008659	2-Methylbutyryl-CoA Dehydrogenase Deficiency	MESH:C566487	ACADSB	36	Genetic disease (inborn)|Metabolic disease	Genetic disease (inborn)|Metabolic disease	marker/mechanism	610006	
d008659	3b-Hydroxysteroid Dehydrogenase Deficiency	MESH:C579862	HSD3B2	3284	Congenital abnormality|Endocrine system disease|Genetic disease (inborn)|Metabolic disease|Urogenital disease (female)|Urogenital disease (male)	Congenital abnormality|Endocrine system disease|Genetic disease (inborn)|Metabolic disease|Urogenital disease (female)|Urogenital disease (male)	marker/mechanism		25526675
d008659	3-Hydroxy-3-Methylglutaryl-CoA Lyase Deficiency	MESH:C538324	HMGCL	3155	Genetic disease (inborn)|Metabolic disease	Genetic disease (inborn)|Metabolic disease	marker/mechanism	246450	
d008659	3-Hydroxy-3-Methylglutaryl-CoA Synthase 2 Deficiency	MESH:C567784	HMGCS2	3158	Genetic disease (inborn)|Metabolic disease	Genetic disease (inborn)|Metabolic disease	marker/mechanism	605911	
d008659	3-Hydroxyacyl-CoA Dehydrogenase Deficiency	MESH:C535310	HADH	3033	Genetic disease (inborn)|Metabolic disease	Genetic disease (inborn)|Metabolic disease	marker/mechanism	231530	
d008659	3-methylcrotonyl CoA carboxylase 1 deficiency	MESH:C535308	MCCC1	56922	Genetic disease (inborn)|Metabolic disease|Nervous system disease	Genetic disease (inborn)|Metabolic disease|Nervous system disease	marker/mechanism	210200	
d008659	3-methylcrotonyl CoA carboxylase 2 deficiency	MESH:C535309	MCCC2	64087	Genetic disease (inborn)|Metabolic disease|Nervous system disease	Genetic disease (inborn)|Metabolic disease|Nervous system disease	marker/mechanism	210210	
d008659	3-Methylglutaconic Aciduria, Type I	MESH:C562801	AUH	549	Genetic disease (inborn)|Metabolic disease	Genetic disease (inborn)|Metabolic disease	marker/mechanism	250950	
d008659	3-Methylglutaconic Aciduria, Type V	MESH:C565706	DNAJC19	131118	Cardiovascular disease|Genetic disease (inborn)|Metabolic disease|Nervous system disease|Signs and symptoms	Cardiovascular disease|Genetic disease (inborn)|Metabolic disease|Nervous system disease|Signs and symptoms	marker/mechanism	610198	
d008659	3-METHYLGLUTACONIC ACIDURIA, TYPE VIII	OMIM:617248	HTRA2	27429	Genetic disease (inborn)|Metabolic disease	Genetic disease (inborn)|Metabolic disease	marker/mechanism	617248	
d008659	3-METHYLGLUTACONIC ACIDURIA WITH CATARACTS, NEUROLOGIC INVOLVEMENT, AND NEUTROPENIA	OMIM:616271	CLPB	81570	Blood disease|Eye disease|Genetic disease (inborn)|Metabolic disease|Nervous system disease|Signs and symptoms	Blood disease|Eye disease|Genetic disease (inborn)|Metabolic disease|Nervous system disease|Signs and symptoms	marker/mechanism	616271	
d008659	3-METHYLGLUTACONIC ACIDURIA WITH DEAFNESS, ENCEPHALOPATHY, AND LEIGH-LIKE SYNDROME	OMIM:614739	SERAC1	84947	Ear-nose-throat disease|Genetic disease (inborn)|Metabolic disease|Nervous system disease|Signs and symptoms	Ear-nose-throat disease|Genetic disease (inborn)|Metabolic disease|Nervous system disease|Signs and symptoms	marker/mechanism	614739	
d008659	5-oxoprolinase deficiency	MESH:C535322	OPLAH	26873	Genetic disease (inborn)|Metabolic disease	Genetic disease (inborn)|Metabolic disease	marker/mechanism	260005	
d008659	6-pyruvoyl-tetrahydropterin synthase deficiency	MESH:C535325	PTS	5805	Genetic disease (inborn)|Metabolic disease|Nervous system disease	Genetic disease (inborn)|Metabolic disease|Nervous system disease	marker/mechanism	261640	
d008659	Abdominal obesity metabolic syndrome	MESH:C535554	PPARA	5465	Metabolic disease	Metabolic disease	marker/mechanism		15309680
d008659	ABDOMINAL OBESITY-METABOLIC SYNDROME 1	OMIM:605552	MTTP	4547	Metabolic disease|Nutrition disorder	Metabolic disease|Nutrition disorder	marker/mechanism	605552	
d008659	ABDOMINAL OBESITY-METABOLIC SYNDROME 3	OMIM:615812	DYRK1B	9149	Metabolic disease|Nutrition disorder	Metabolic disease|Nutrition disorder	marker/mechanism	615812	
d008659	Abetalipoproteinemia	MESH:D000012	MTTP	4547	Genetic disease (inborn)|Metabolic disease	Genetic disease (inborn)|Metabolic disease	marker/mechanism	200100	
d008659	Acatalasia	MESH:D020642	CAT	847	Genetic disease (inborn)|Metabolic disease	Genetic disease (inborn)|Metabolic disease	marker/mechanism|therapeutic	614097	11001624|11117918|1551654|2308162|26074427
d008659	Acetyl-Coa Carboxylase Deficiency	MESH:C562678	ACACA	31	Genetic disease (inborn)|Metabolic disease	Genetic disease (inborn)|Metabolic disease	marker/mechanism	613933	
d008659	Acidemia, isovaleric	MESH:C538167	IVD	3712	Genetic disease (inborn)|Metabolic disease	Genetic disease (inborn)|Metabolic disease	marker/mechanism	243500	
d008659	Acidosis	MESH:D000138	NFE2L2	4780	Metabolic disease	Metabolic disease	marker/mechanism		29618784
d008659	Acidosis	MESH:D000138	SLC9A4	389015	Metabolic disease	Metabolic disease	marker/mechanism		20484819
d008659	Acidosis, Lactic	MESH:D000140	DNM1L	10059	Metabolic disease	Metabolic disease	marker/mechanism		17460227
d008659	Acidosis, Lactic	MESH:D000140	PDHA1	5160	Metabolic disease	Metabolic disease	marker/mechanism		2537010
d008659	Acidosis, Lactic	MESH:D000140	PLAT	5327	Metabolic disease	Metabolic disease	therapeutic		25331496
d008659	Acidosis, Lactic	MESH:D000140	RRM2B	50484	Metabolic disease	Metabolic disease	marker/mechanism		19138848
