# Input	DiseaseName	DiseaseID	GeneSymbol	GeneID	DiseaseCategories	DiseaseCategories	DirectEvidence	OmimIDs	PubMedIDs
d044342	Ataxia with vitamin E deficiency	MESH:C535393	APOA1	335	Nervous system disease|Nutrition disorder|Signs and symptoms	Nervous system disease|Nutrition disorder|Signs and symptoms	marker/mechanism		18458655
d044342	Ataxia with vitamin E deficiency	MESH:C535393	APOB	338	Nervous system disease|Nutrition disorder|Signs and symptoms	Nervous system disease|Nutrition disorder|Signs and symptoms	marker/mechanism		18458655
d044342	Ataxia with vitamin E deficiency	MESH:C535393	TTPA	7274	Nervous system disease|Nutrition disorder|Signs and symptoms	Nervous system disease|Nutrition disorder|Signs and symptoms	marker/mechanism	277460	10896705|11752462|12470185|15300460|18458655|19566498
d044342	Deficiency Diseases	MESH:D003677	CCS	9973	Nutrition disorder	Nutrition disorder	marker/mechanism		12514262
d044342	Deficiency Diseases	MESH:D003677	CP	1356	Nutrition disorder	Nutrition disorder	marker/mechanism		12514262
d044342	Deficiency Diseases	MESH:D003677	SOD1	6647	Nutrition disorder	Nutrition disorder	marker/mechanism		12514262
d044342	Familial Hypophosphatemic Rickets	MESH:D053098	CLCN5	1184	Genetic disease (inborn)|Metabolic disease|Musculoskeletal disease|Nutrition disorder|Urogenital disease (female)|Urogenital disease (male)	Genetic disease (inborn)|Metabolic disease|Musculoskeletal disease|Nutrition disorder|Urogenital disease (female)|Urogenital disease (male)	marker/mechanism	300554	
d044342	Familial Hypophosphatemic Rickets	MESH:D053098	PHEX	5251	Genetic disease (inborn)|Metabolic disease|Musculoskeletal disease|Nutrition disorder|Urogenital disease (female)|Urogenital disease (male)	Genetic disease (inborn)|Metabolic disease|Musculoskeletal disease|Nutrition disorder|Urogenital disease (female)|Urogenital disease (male)	marker/mechanism	307800	11414762|18775977
d044342	Fetal Nutrition Disorders	MESH:D048070	MAOA	4128	Fetal disease|Nutrition disorder|Pregnancy complication	Fetal disease|Nutrition disorder|Pregnancy complication	marker/mechanism		22340208
d044342	Folate Malabsorption, Hereditary	MESH:C562799	SLC46A1	113235	Digestive system disease|Metabolic disease|Nutrition disorder	Digestive system disease|Metabolic disease|Nutrition disorder	marker/mechanism	229050	
d044342	Folic Acid Deficiency	MESH:D005494	DHFR	1719	Nutrition disorder	Nutrition disorder	marker/mechanism		21310277
d044342	Gamma-cystathionase deficiency	MESH:C535408	CTH	1491	Genetic disease (inborn)|Metabolic disease|Nutrition disorder	Genetic disease (inborn)|Metabolic disease|Nutrition disorder	marker/mechanism	219500	
d044342	Hypercarotenemia And Vitamin A Deficiency, Autosomal Dominant	MESH:C567296	BCO1	53630	Nutrition disorder	Nutrition disorder	marker/mechanism	115300	
d044342	Hyperhomocysteinemia	MESH:D020138	CASP1	834	Genetic disease (inborn)|Metabolic disease|Nutrition disorder	Genetic disease (inborn)|Metabolic disease|Nutrition disorder	marker/mechanism		22647887
d044342	Hyperhomocysteinemia	MESH:D020138	CBS	875	Genetic disease (inborn)|Metabolic disease|Nutrition disorder	Genetic disease (inborn)|Metabolic disease|Nutrition disorder	marker/mechanism		17292331|19028542|19204075
d044342	Hyperhomocysteinemia	MESH:D020138	DES	1674	Genetic disease (inborn)|Metabolic disease|Nutrition disorder	Genetic disease (inborn)|Metabolic disease|Nutrition disorder	marker/mechanism		20116427
d044342	Hyperhomocysteinemia	MESH:D020138	GNMT	27232	Genetic disease (inborn)|Metabolic disease|Nutrition disorder	Genetic disease (inborn)|Metabolic disease|Nutrition disorder	marker/mechanism		16317120
d044342	Hyperhomocysteinemia	MESH:D020138	MTHFR	4524	Genetic disease (inborn)|Metabolic disease|Nutrition disorder	Genetic disease (inborn)|Metabolic disease|Nutrition disorder	marker/mechanism|therapeutic		10459572|15226090|16317120|16397167|16411416|16575899|17387702|18234410|18551038|19204075|19646848
d044342	Hyperhomocysteinemia	MESH:D020138	MTRR	4552	Genetic disease (inborn)|Metabolic disease|Nutrition disorder	Genetic disease (inborn)|Metabolic disease|Nutrition disorder	marker/mechanism		16575899|17369066
d044342	Hyperhomocysteinemia	MESH:D020138	NPHS1	4868	Genetic disease (inborn)|Metabolic disease|Nutrition disorder	Genetic disease (inborn)|Metabolic disease|Nutrition disorder	marker/mechanism		20116427
d044342	Hyperhomocysteinemia	MESH:D020138	PON1	5444	Genetic disease (inborn)|Metabolic disease|Nutrition disorder	Genetic disease (inborn)|Metabolic disease|Nutrition disorder	marker/mechanism		17292331|19028542
d044342	Hyperhomocysteinemia	MESH:D020138	PYCARD	29108	Genetic disease (inborn)|Metabolic disease|Nutrition disorder	Genetic disease (inborn)|Metabolic disease|Nutrition disorder	marker/mechanism		22647887
d044342	Hyperhomocysteinemia	MESH:D020138	SLC46A1	113235	Genetic disease (inborn)|Metabolic disease|Nutrition disorder	Genetic disease (inborn)|Metabolic disease|Nutrition disorder	marker/mechanism		19204075
d044342	Hyperhomocysteinemia	MESH:D020138	TNF	7124	Genetic disease (inborn)|Metabolic disease|Nutrition disorder	Genetic disease (inborn)|Metabolic disease|Nutrition disorder	marker/mechanism		12615666
d044342	Hypomagnesemia 1, Intestinal	MESH:C566593	TRPM6	140803	Metabolic disease|Nutrition disorder	Metabolic disease|Nutrition disorder	marker/mechanism	602014	
d044342	Hypophosphatemic Rickets, Autosomal Dominant	MESH:C562791	FGF23	8074	Genetic disease (inborn)|Metabolic disease|Musculoskeletal disease|Nutrition disorder|Urogenital disease (female)|Urogenital disease (male)	Genetic disease (inborn)|Metabolic disease|Musculoskeletal disease|Nutrition disorder|Urogenital disease (female)|Urogenital disease (male)	marker/mechanism	193100	
d044342	Hypophosphatemic Rickets, Autosomal Recessive, 1	MESH:C562792	DMP1	1758	Genetic disease (inborn)|Metabolic disease|Musculoskeletal disease|Nutrition disorder|Urogenital disease (female)|Urogenital disease (male)	Genetic disease (inborn)|Metabolic disease|Musculoskeletal disease|Nutrition disorder|Urogenital disease (female)|Urogenital disease (male)	marker/mechanism	241520	
d044342	Hypophosphatemic Rickets, Autosomal Recessive, 2	MESH:C567647	ENPP1	5167	Genetic disease (inborn)|Metabolic disease|Musculoskeletal disease|Nutrition disorder|Urogenital disease (female)|Urogenital disease (male)	Genetic disease (inborn)|Metabolic disease|Musculoskeletal disease|Nutrition disorder|Urogenital disease (female)|Urogenital disease (male)	marker/mechanism	613312	
d044342	Hypophosphatemic Rickets with Hypercalciuria, Hereditary	MESH:C562793	SLC34A3	142680	Genetic disease (inborn)|Metabolic disease|Musculoskeletal disease|Nutrition disorder|Signs and symptoms|Urogenital disease (female)|Urogenital disease (male)	Genetic disease (inborn)|Metabolic disease|Musculoskeletal disease|Nutrition disorder|Signs and symptoms|Urogenital disease (female)|Urogenital disease (male)	marker/mechanism	241530	
d044342	Intrinsic Factor Deficiency	MESH:C563242	CBLIF	2694	Blood disease|Nutrition disorder	Blood disease|Nutrition disorder	marker/mechanism	261000	
d044342	Keratomalacia	MESH:C536156	RBP4	5950	Nutrition disorder	Nutrition disorder	marker/mechanism		9888420
d044342	Magnesium Deficiency	MESH:D008275	FXYD2	486	Nutrition disorder	Nutrition disorder	marker/mechanism		11062458
d044342	Malnutrition	MESH:D044342	CBS	875	Nutrition disorder	Nutrition disorder	marker/mechanism		16709328
d044342	Malnutrition	MESH:D044342	MTHFR	4524	Nutrition disorder	Nutrition disorder	marker/mechanism		16709328
d044342	Malnutrition	MESH:D044342	MTR	4548	Nutrition disorder	Nutrition disorder	marker/mechanism		16709328
d044342	MEGALOBLASTIC ANEMIA 1	OMIM:261100	AMN	81693	Blood disease|Digestive system disease|Metabolic disease|Nutrition disorder|Signs and symptoms|Urogenital disease (female)|Urogenital disease (male)	Blood disease|Digestive system disease|Metabolic disease|Nutrition disorder|Signs and symptoms|Urogenital disease (female)|Urogenital disease (male)	marker/mechanism	261100	
d044342	MEGALOBLASTIC ANEMIA 1	OMIM:261100	CUBN	8029	Blood disease|Digestive system disease|Metabolic disease|Nutrition disorder|Signs and symptoms|Urogenital disease (female)|Urogenital disease (male)	Blood disease|Digestive system disease|Metabolic disease|Nutrition disorder|Signs and symptoms|Urogenital disease (female)|Urogenital disease (male)	marker/mechanism	261100	
d044342	Methylmalonic acidemia with homocystinuria	MESH:C537359	MMACHC	25974	Connective tissue disease|Genetic disease (inborn)|Metabolic disease|Nervous system disease|Nutrition disorder	Connective tissue disease|Genetic disease (inborn)|Metabolic disease|Nervous system disease|Nutrition disorder	marker/mechanism	277400	
d044342	Methylmalonic acidemia with homocystinuria	MESH:C537359	PRDX1	5052	Connective tissue disease|Genetic disease (inborn)|Metabolic disease|Nervous system disease|Nutrition disorder	Connective tissue disease|Genetic disease (inborn)|Metabolic disease|Nervous system disease|Nutrition disorder	marker/mechanism	277400	
d044342	Osteomalacia	MESH:D010018	MEPE	56955	Metabolic disease|Musculoskeletal disease|Nutrition disorder	Metabolic disease|Musculoskeletal disease|Nutrition disorder	marker/mechanism		11414762
d044342	Protein Deficiency	MESH:D011488	CAT	847	Nutrition disorder	Nutrition disorder	marker/mechanism		15865262
d044342	Protein Deficiency	MESH:D011488	GSR	2936	Nutrition disorder	Nutrition disorder	marker/mechanism		15865262
d044342	Protein Deficiency	MESH:D011488	SOD1	6647	Nutrition disorder	Nutrition disorder	therapeutic		16214328
d044342	Riboflavin Deficiency	MESH:D012257	SLC52A1	55065	Nutrition disorder	Nutrition disorder	marker/mechanism	615026	
d044342	Rickets	MESH:D012279	CYP27B1	1594	Metabolic disease|Musculoskeletal disease|Nutrition disorder	Metabolic disease|Musculoskeletal disease|Nutrition disorder	marker/mechanism		16494812
d044342	Rickets	MESH:D012279	PTH	5741	Metabolic disease|Musculoskeletal disease|Nutrition disorder	Metabolic disease|Musculoskeletal disease|Nutrition disorder	marker/mechanism		10375030
d044342	Rickets	MESH:D012279	PTH1R	5745	Metabolic disease|Musculoskeletal disease|Nutrition disorder	Metabolic disease|Musculoskeletal disease|Nutrition disorder	marker/mechanism		10375030
d044342	Rickets	MESH:D012279	VDR	7421	Metabolic disease|Musculoskeletal disease|Nutrition disorder	Metabolic disease|Musculoskeletal disease|Nutrition disorder	marker/mechanism		1338926|17451081|22466564
